policy_state,policy_deductible,policy_annual_premium,insured_age,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,police_report_available,claim_amount,total_claim_amount,fraud_reported,incident_year,incident_month,incident_day
2,1000,1082.72,66,0,1,7,5,0,1,2,3,0,5008,12,3,0,1,0,3474.23,6901.77,0,2024,9,3
5,300,1190.28,61,0,0,0,5,0,1,1,3,8,967,13,4,1,5,0,1579.19,3099.22,0,2024,6,10
8,300,867.39,22,1,3,1,6,2,3,0,3,1,17089,0,4,4,4,0,16077.35,16034.43,0,2025,8,27
4,400,901.21,62,2,3,2,5,3,3,1,1,7,118,11,1,2,4,1,14165.49,20457.83,0,2023,11,12
2,800,664.43,36,0,0,5,0,2,0,1,1,8,14194,7,3,3,1,1,17325.17,24344.53,0,2024,1,19
5,300,1157.6,66,0,2,0,0,1,2,2,0,1,5518,8,3,4,3,0,16773.5,24081.21,0,2024,8,29
2,200,1366.26,54,1,3,6,3,3,3,0,3,4,2240,19,4,4,3,0,9072.63,8952.76,0,2023,11,17
0,700,1185.75,41,2,0,7,4,0,2,2,0,9,5084,9,1,1,1,0,8959.57,11293.16,0,2024,10,7
3,300,1136.65,23,0,1,5,4,1,0,2,1,2,8206,4,2,1,4,0,4877.74,5203.6,0,2025,6,13
7,800,760.62,63,2,2,6,2,2,3,2,0,9,12068,10,4,0,2,1,5201.74,8012.23,0,2025,6,24
1,1000,1184.07,66,2,3,6,6,3,3,1,1,8,11266,19,3,3,5,1,12650.08,11150.99,0,2025,3,24
7,1000,1191.59,67,1,2,0,3,1,3,1,2,4,12707,17,2,4,3,1,7390.63,6705.24,0,2024,3,26
0,500,1238.19,74,0,1,6,5,2,1,0,2,9,15696,23,1,1,5,0,3296.87,4757.41,1,2025,6,11
4,400,1334.99,41,1,1,4,4,2,0,2,2,9,1868,13,1,1,0,1,3036.53,4463.12,0,2025,11,7
9,800,750.26,53,1,0,6,4,2,3,2,3,9,2908,16,1,0,1,1,11918.77,20223.99,0,2024,3,2
1,600,1371.62,29,1,2,0,5,0,2,0,3,9,5479,7,2,4,0,0,10876.11,9572.07,1,2024,9,12
0,400,1179.06,36,1,2,7,1,3,0,2,2,3,15519,3,1,3,5,0,17769.6,21085.52,0,2024,3,5
8,1000,1253.08,69,2,3,3,5,2,1,1,1,9,11431,17,1,1,5,1,3749.09,4429.79,0,2024,2,6
4,200,1355.83,73,0,3,0,5,1,1,0,0,3,13114,13,1,3,0,0,9217.43,8114.36,0,2025,3,4
6,300,786.26,65,0,3,7,6,0,1,1,0,2,12782,21,3,4,0,0,24583.19,23402.63,0,2025,5,17
4,500,1300.74,55,2,2,6,0,2,0,2,1,5,861,7,4,1,2,1,11234.38,14444.47,0,2024,12,13
4,600,729.23,62,0,0,0,4,1,0,1,3,2,1459,7,3,1,2,1,5739.47,7362.16,0,2024,8,7
7,200,1054.55,67,2,0,4,0,2,0,1,2,1,16515,11,2,4,3,0,11596.18,16125.32,0,2025,6,18
6,300,698.17,44,1,1,1,4,3,0,0,2,4,5338,21,2,4,1,1,9986.72,10372.16,0,2024,4,14
9,700,1160.44,27,2,3,7,6,2,0,2,0,6,13145,20,2,0,3,0,6477.8,8842.27,0,2025,6,24
0,800,1136.05,66,2,0,7,4,3,1,2,2,9,5748,7,2,3,3,0,7409.07,7756.15,0,2023,12,14
9,500,1423.47,73,2,2,7,2,2,1,1,2,5,15823,10,2,0,1,0,7923.22,14300.91,0,2024,6,27
9,600,1275.23,66,0,2,6,4,3,2,0,0,2,12366,11,4,4,4,1,22435.88,23735.87,0,2024,2,26
9,800,1483.9,24,0,2,1,2,0,0,2,2,7,6481,16,2,3,3,0,12774.94,15887.32,0,2025,6,15
0,600,891.99,43,1,1,7,3,0,0,1,0,1,12421,3,2,2,5,1,7291.25,7531.53,0,2024,9,4
4,300,1407.18,62,1,0,5,6,2,0,2,3,7,12338,2,3,3,5,1,9311.31,14063.65,1,2025,2,3
5,400,1083.18,69,2,2,2,0,3,2,1,3,1,11134,20,2,2,2,1,3950.24,3578.82,1,2025,5,26
1,200,1361.08,62,0,2,0,6,3,1,0,1,8,9020,10,4,3,2,0,13944.51,12406.83,0,2024,4,3
2,200,868.39,56,1,0,5,1,3,2,1,3,5,4108,8,2,1,2,0,5555.85,7820.49,0,2025,5,18
9,200,739.92,36,1,0,0,1,2,1,1,0,3,11094,11,1,1,4,1,6023.15,6303.38,0,2024,11,12
4,600,1099.99,34,1,2,6,4,1,1,1,2,0,9127,15,3,0,1,0,12723.97,12526.99,0,2024,9,9
5,400,789.52,49,2,1,1,3,0,0,2,1,1,16185,20,3,2,4,1,24032.79,20582.96,0,2025,5,14
1,1000,1313.17,52,0,3,7,0,0,0,2,2,2,6128,23,1,1,5,1,3952.49,5182.22,0,2024,12,4
8,700,1219.6,31,2,3,7,4,1,2,2,2,3,7502,8,2,4,4,0,4302.23,3859.28,0,2024,11,29
6,300,1432.13,66,1,3,7,2,1,2,2,2,0,14422,21,2,1,2,0,17719.38,17106.99,0,2025,2,1
6,300,902.67,45,0,1,3,6,3,0,0,3,2,9127,18,1,2,2,0,14102.33,15349.1,0,2024,4,27
1,700,1102.38,56,0,3,4,2,2,0,2,3,7,8195,12,2,4,5,1,22058.79,20982.36,0,2025,11,5
6,400,766.15,75,2,3,7,6,3,1,1,0,2,9893,5,2,1,4,1,12644.35,10793.79,0,2025,2,12
1,1000,1441.5,60,0,0,1,2,2,2,0,3,8,6679,14,1,2,1,1,11050.36,17348.65,0,2024,3,20
3,200,988.56,28,1,3,4,6,2,2,2,2,6,14427,4,1,4,4,1,3834.05,5828.03,1,2025,6,5
9,800,708.03,33,1,2,0,4,0,1,2,1,0,13839,8,3,2,5,1,6599.83,7572.47,1,2025,2,23
9,1000,1408.03,43,1,2,7,1,2,3,1,3,2,13621,6,1,1,1,1,15347.64,17615.59,0,2025,4,28
0,800,1164.28,55,0,0,7,5,2,2,2,2,9,6861,10,1,3,3,1,12177.05,14725.23,0,2023,12,31
3,400,652.92,71,0,0,1,3,3,2,1,0,9,11818,9,1,0,1,1,3170.19,3703.16,0,2025,4,29
5,500,883.69,47,2,0,3,1,2,2,1,2,0,3230,6,4,2,1,0,4953.94,4832.14,0,2025,8,10
8,400,1012.62,73,1,2,6,5,2,3,0,2,3,12547,3,1,2,5,0,3935.08,5216.56,0,2025,8,10
9,300,1462.5,74,1,0,0,6,3,3,0,0,5,17833,1,3,3,5,0,7678.79,14171.14,0,2025,6,16
2,400,1421.36,41,2,2,4,5,0,1,1,3,8,10578,20,3,2,3,1,1744.44,2274.66,0,2024,12,1
0,300,696.54,75,1,3,1,2,3,1,1,0,1,6318,6,1,2,4,1,8314.37,12582.69,0,2024,10,5
8,600,967.95,18,2,0,3,1,2,1,0,2,5,14968,5,1,2,3,0,17646.41,21954.32,1,2025,1,25
3,600,1168.55,60,0,2,7,0,1,2,1,0,0,972,2,2,1,0,0,15256.0,13307.85,0,2025,1,15
7,700,1307.24,54,2,2,5,1,0,0,0,2,2,17826,2,3,1,1,1,10280.82,10246.75,0,2025,2,22
0,400,1319.61,63,2,1,7,3,1,2,2,3,8,391,1,3,3,3,0,1937.11,2343.92,0,2025,10,31
2,1000,1201.43,25,1,3,7,4,1,2,1,2,8,9081,14,4,3,3,0,15325.53,20101.26,0,2025,1,24
5,500,635.0,71,1,2,4,2,0,0,2,2,5,6912,6,4,1,3,0,6219.45,6496.24,0,2025,6,4
1,800,793.39,64,0,1,2,1,3,1,0,1,0,11067,6,4,1,2,1,10271.84,19983.51,0,2024,5,28
2,1000,1172.06,19,1,3,3,3,2,2,2,0,5,4895,5,3,2,2,0,5411.79,6191.68,0,2023,11,9
2,200,1004.77,51,0,3,5,4,3,2,2,2,7,17137,17,3,0,0,0,21408.46,19426.66,0,2024,5,4
4,800,1401.59,28,2,0,0,3,1,3,1,2,2,17294,1,3,1,3,0,5115.12,5560.16,0,2025,1,10
1,500,1214.08,41,0,2,1,3,0,1,1,3,6,6166,0,3,0,1,1,20492.76,20606.86,0,2025,2,25
6,600,1477.59,70,1,2,0,5,1,2,1,2,2,6017,1,2,1,5,0,15147.36,12895.17,0,2024,12,31
7,300,1472.23,74,2,2,5,0,0,1,0,1,3,14327,9,3,0,2,1,1580.2,1419.42,0,2024,6,19
5,300,1049.02,18,1,0,7,2,2,0,0,0,0,8228,20,1,4,2,1,7714.04,12069.54,0,2025,1,31
3,700,742.62,69,0,0,7,1,0,3,0,1,5,12610,13,3,4,1,0,7772.4,9306.56,0,2024,4,27
4,700,1451.2,51,0,2,4,2,1,1,0,3,1,3536,17,4,2,4,1,4560.87,4297.95,1,2025,4,23
8,500,974.95,67,1,3,5,6,2,2,0,0,0,12008,6,4,4,4,1,22234.83,20792.96,0,2025,11,5
2,400,1494.74,36,1,2,0,1,1,3,1,3,1,11446,11,1,0,4,1,13087.37,15799.54,0,2024,9,8
5,800,1400.35,51,0,2,1,6,2,3,0,3,3,9834,11,4,0,5,0,8869.13,8677.25,0,2024,11,26
6,800,766.21,32,1,3,1,3,1,1,1,3,7,1404,6,3,2,4,1,617.69,710.59,0,2025,11,1
7,800,1096.19,24,1,2,6,5,2,0,1,2,2,10980,3,4,1,4,0,12627.4,13505.99,0,2025,7,20
8,800,1459.54,50,1,0,1,3,3,0,2,3,8,14505,15,2,3,1,1,4834.28,6505.51,0,2025,6,6
2,500,973.25,30,0,0,5,2,1,1,1,0,9,1844,1,3,0,4,1,8785.18,8008.06,0,2024,8,24
0,600,1087.27,32,2,0,3,3,1,3,2,1,1,15140,20,2,2,0,1,7178.43,6791.54,0,2025,8,17
2,600,975.18,42,1,0,7,4,2,0,1,1,1,13230,7,2,0,3,0,14244.07,14571.25,0,2024,2,21
2,700,897.33,41,1,1,4,5,1,1,1,0,6,10307,9,1,1,5,0,15884.83,21648.65,0,2024,8,4
6,700,1424.24,43,2,0,3,2,0,3,2,2,7,9658,17,1,4,1,0,2399.08,2797.36,0,2025,8,9
8,700,978.5,53,1,1,1,1,3,2,1,1,2,16133,2,1,1,5,0,1017.4,1374.12,0,2024,9,19
4,1000,712.9,22,1,2,1,5,3,3,0,2,7,8967,11,4,0,4,1,2448.58,4169.74,0,2025,1,4
5,1000,981.69,63,0,0,0,0,3,3,1,1,6,7482,9,4,0,3,0,24068.2,22816.63,0,2025,9,5
7,1000,617.48,31,1,2,3,6,2,3,0,0,3,11108,1,2,2,0,1,2949.59,2729.07,0,2024,8,30
3,1000,863.08,29,2,2,5,0,1,0,1,2,2,16765,0,3,2,1,1,3722.63,3161.24,0,2025,7,19
7,300,1100.54,52,0,1,1,4,0,3,0,3,7,15818,12,3,1,5,1,2686.11,2975.58,1,2025,2,8
5,300,1451.29,73,1,0,5,5,1,2,2,2,8,16437,7,1,4,5,0,2206.74,3964.1,0,2024,4,2
3,800,1298.17,64,2,2,6,0,1,0,1,2,2,254,21,2,0,2,0,5765.58,6944.22,0,2023,11,27
2,800,1457.35,53,2,0,2,2,0,1,0,0,1,16493,13,3,1,3,0,607.15,537.53,0,2025,10,4
1,300,652.02,46,0,0,6,5,3,1,2,1,7,15018,13,4,3,2,1,11125.25,10872.64,0,2024,10,29
4,600,1460.6,33,0,0,0,4,2,2,0,3,5,8399,18,2,4,3,0,18988.99,19964.81,0,2024,9,28
3,600,956.13,29,1,3,2,5,0,3,1,2,2,11284,15,2,0,4,0,10175.88,13980.91,0,2025,1,30
7,200,737.65,30,2,1,2,1,3,3,1,0,7,7937,23,1,4,1,1,12691.85,21980.71,0,2024,9,25
4,700,1216.72,71,1,1,2,4,0,1,0,2,7,13575,2,3,3,3,0,4702.01,4332.8,0,2025,2,13
8,500,1010.12,65,0,1,7,6,3,0,1,0,4,7197,6,1,2,4,1,6447.24,8615.41,0,2024,9,9
4,500,1012.09,26,1,3,1,0,0,1,0,0,6,10901,17,4,4,2,1,1332.31,1282.95,0,2024,4,20
6,300,724.65,49,2,1,2,0,1,1,1,2,5,14100,9,1,3,2,1,26053.1,23137.16,0,2025,3,5
6,400,1138.19,56,0,2,7,3,1,0,2,2,3,13308,17,1,4,2,0,9821.69,15672.58,0,2024,10,31
2,700,834.33,72,2,1,0,6,2,0,1,2,0,17288,7,2,4,3,0,805.71,1239.84,0,2024,2,14
3,400,870.25,64,2,0,6,4,0,0,1,2,3,4512,23,3,0,5,1,5897.73,7623.88,0,2024,5,21
1,600,806.72,26,2,3,4,4,0,1,2,3,9,5567,14,3,0,5,1,10460.79,20143.17,0,2024,12,28
5,400,686.68,61,1,2,7,2,1,1,2,0,1,1863,3,1,2,1,1,25915.17,22913.52,0,2023,12,10
6,700,985.82,48,2,1,5,0,3,3,0,1,2,5534,20,3,4,2,0,10219.74,15392.69,0,2025,1,27
1,500,659.02,50,1,2,4,1,2,1,2,2,0,5104,11,1,3,4,1,14157.46,23142.45,0,2025,7,6
4,400,1121.41,24,0,1,6,1,2,0,1,1,6,5423,17,4,0,4,1,8016.33,11885.14,0,2024,6,13
6,1000,1344.71,32,0,1,1,0,2,3,1,1,2,2979,11,1,2,4,1,11789.82,10797.58,1,2025,1,9
9,400,1235.68,61,1,1,2,6,2,1,2,0,2,10599,4,3,0,4,1,3444.72,5275.4,0,2024,9,21
7,800,1433.19,70,0,3,5,2,3,3,0,1,7,3435,2,2,2,0,1,6707.49,6865.76,0,2025,8,13
7,700,777.24,40,2,1,2,5,1,1,1,3,4,8631,9,1,1,0,1,9592.4,17369.73,0,2025,7,14
9,1000,1204.52,53,0,2,7,1,1,3,0,1,7,1987,12,2,4,4,0,27391.1,24252.05,0,2025,1,11
1,400,1440.67,42,2,3,3,1,2,1,2,1,1,14997,12,3,3,5,0,5129.6,6427.49,0,2024,6,2
6,600,782.86,19,2,3,3,6,3,0,2,2,5,4792,6,1,1,4,1,18020.97,22856.14,0,2024,5,18
4,700,1434.64,29,0,1,7,1,3,2,1,3,7,6776,20,2,4,0,0,11874.73,12055.03,0,2025,1,22
1,600,1055.84,22,0,0,5,4,0,0,2,2,4,7811,9,1,4,0,0,24500.15,23875.78,0,2025,6,26
0,700,1174.47,32,1,2,1,5,1,2,0,3,2,14997,15,2,2,1,1,6569.03,5583.55,0,2024,3,4
9,300,1120.45,50,2,2,3,5,1,2,0,2,2,14789,1,2,2,1,0,12969.51,16840.71,0,2025,8,20
9,200,1265.11,57,1,2,7,1,1,1,1,1,3,13824,6,3,0,5,1,7973.04,9881.39,0,2024,6,3
8,400,1167.94,60,2,0,1,1,2,2,2,1,2,17742,23,1,4,5,1,10932.69,18311.76,1,2024,12,20
6,300,1270.0,59,0,2,2,6,3,3,1,2,3,16819,10,4,1,3,1,15468.99,14828.7,0,2025,3,6
2,500,943.58,45,2,1,4,3,1,2,1,1,2,4225,15,4,3,0,0,10913.26,11293.36,0,2025,7,6
0,400,1269.1,73,0,1,3,4,0,3,0,3,7,14030,15,2,3,2,0,3246.95,5699.87,0,2024,7,23
6,600,971.61,18,0,0,2,3,0,2,1,1,5,9475,3,4,1,3,0,14803.4,17209.05,0,2024,4,19
5,600,914.44,70,2,3,2,5,2,2,0,3,7,16603,19,2,3,4,1,4330.33,4220.38,0,2023,12,25
7,800,1270.19,63,2,2,7,5,1,2,0,2,7,11114,6,4,0,0,1,13007.13,15943.59,0,2025,5,17
8,300,775.89,34,0,0,7,3,2,2,1,2,1,15762,12,3,2,4,0,7438.79,11747.59,0,2024,9,28
3,500,772.74,51,0,3,4,1,0,1,2,1,5,7200,16,1,2,1,0,9381.16,12211.98,0,2024,10,26
8,1000,1261.48,30,1,0,5,4,2,2,0,1,5,14543,3,2,2,3,1,14134.53,23029.58,1,2024,1,27
3,1000,1376.69,33,1,0,7,3,0,2,2,3,6,6351,11,1,3,5,0,9216.37,13236.72,0,2024,3,2
4,800,884.51,73,0,0,5,6,1,3,2,3,9,6102,23,3,3,1,0,14444.35,14406.24,0,2025,10,16
8,500,1413.5,72,1,2,6,6,0,2,1,2,3,14946,13,2,1,1,0,14584.97,12554.71,0,2024,10,1
0,800,616.4,57,1,2,0,3,1,0,1,3,7,373,18,2,2,3,0,7658.22,14946.35,0,2025,7,18
7,200,1099.71,26,1,0,5,5,2,1,1,3,4,13844,21,3,2,2,1,12996.27,14943.6,0,2024,11,18
1,300,1038.32,60,2,3,5,4,1,2,1,0,8,6923,17,2,4,4,0,11196.83,18093.6,0,2025,5,1
9,200,1396.2,53,0,1,4,5,3,2,2,2,3,7159,17,4,1,0,0,5184.22,9970.16,0,2025,3,26
4,400,1446.21,52,1,1,6,1,3,0,0,1,1,16846,20,1,2,1,0,8254.37,14860.23,0,2024,9,30
4,700,820.14,38,0,0,2,4,1,1,0,3,9,13766,3,4,4,5,0,16124.73,24133.2,0,2024,7,20
7,800,1349.67,51,2,0,7,5,0,3,1,3,6,16707,17,2,4,5,1,1599.16,2032.72,0,2025,3,27
0,800,616.82,57,0,1,3,3,0,0,1,2,4,13522,21,4,2,0,1,7457.38,11545.65,0,2024,8,16
7,600,995.07,39,1,3,7,5,3,3,1,1,9,3398,11,2,0,1,0,21262.62,21143.0,0,2025,9,1
4,300,698.65,60,0,0,4,3,3,3,2,3,2,6624,20,1,1,4,0,17773.83,18542.78,1,2025,1,22
4,200,1325.61,19,0,0,3,6,3,2,0,2,5,13742,13,2,4,5,1,8351.75,12103.99,0,2025,8,7
5,200,740.7,62,0,3,2,4,3,0,2,3,4,335,1,1,3,4,1,4717.54,5134.29,0,2024,7,14
1,600,612.0,55,2,0,6,2,1,0,2,2,5,15212,19,2,1,5,0,2123.12,2648.19,0,2025,5,5
6,800,1186.4,19,0,0,3,4,0,3,2,3,8,2275,2,2,0,5,1,6119.62,7097.5,0,2023,12,23
8,700,1058.4,73,0,1,2,1,0,1,1,3,3,12204,2,2,0,5,0,16436.49,18825.13,0,2024,6,10
6,700,995.41,34,0,1,0,2,3,2,1,1,9,7700,5,3,1,5,1,12038.4,16212.71,0,2024,5,30
0,800,1395.55,56,0,0,2,0,0,1,1,3,2,4257,6,4,2,2,0,7679.84,8013.33,1,2024,12,6
8,400,1137.42,46,0,1,4,1,1,1,0,3,3,5573,16,3,3,2,1,1173.62,2078.82,0,2023,11,12
2,500,1194.1,62,2,0,4,5,1,3,2,1,0,9453,3,1,0,0,0,7903.58,9379.76,0,2024,9,30
5,700,949.98,45,1,3,6,0,3,3,0,3,3,17728,5,4,4,2,1,10798.28,19527.18,1,2025,3,11
7,600,1174.3,48,0,2,2,2,1,2,1,0,3,8266,7,4,0,1,1,1673.5,1901.05,0,2025,7,18
8,300,905.35,50,0,2,7,4,0,2,0,0,9,6840,10,4,1,5,0,19387.24,21310.72,0,2024,7,18
1,200,897.14,44,2,3,5,5,1,0,1,2,4,2052,4,1,4,2,1,10767.55,17785.22,0,2025,6,9
3,500,816.96,54,0,3,3,4,3,0,2,3,4,1211,0,4,3,1,0,16478.17,15676.9,1,2024,10,1
1,1000,1349.3,56,0,3,1,6,3,3,0,3,1,3878,14,3,2,4,1,19903.21,17718.02,0,2025,4,27
1,500,834.54,53,2,1,4,4,2,1,1,3,2,227,16,1,0,2,1,11847.04,12107.15,0,2023,12,23
6,200,975.42,70,1,1,2,3,1,0,2,1,5,9940,13,3,1,1,1,8585.49,11141.35,0,2024,8,6
8,700,1342.93,21,1,2,0,4,3,3,0,3,9,5119,19,4,0,5,1,10050.63,10221.08,1,2024,10,4
9,600,908.82,46,0,3,6,0,3,1,1,1,0,14997,10,1,2,5,0,16653.35,19334.1,0,2024,7,16
4,300,1334.51,59,0,2,4,1,0,2,1,3,5,3933,6,2,1,4,0,14742.42,13721.91,1,2024,3,26
0,800,770.15,46,1,0,6,4,3,1,0,2,8,3530,9,3,0,4,0,6864.29,7443.71,0,2024,10,2
6,200,831.62,33,1,3,5,4,0,0,2,3,9,15276,22,3,2,1,1,6587.9,10749.7,0,2024,11,15
5,700,1006.34,63,0,3,1,1,0,0,2,3,7,14761,7,4,1,4,1,14977.16,22355.51,0,2025,9,21
6,800,767.42,62,1,2,0,6,1,2,2,0,5,3496,17,4,1,2,0,13019.25,11214.18,0,2024,2,7
2,700,1450.73,28,0,2,7,2,0,2,2,1,0,11235,22,1,4,5,1,2731.34,5045.75,0,2024,5,17
4,400,1136.68,61,2,3,7,0,1,0,2,1,1,4242,19,1,1,3,0,5288.84,8694.75,0,2024,1,19
6,500,621.96,48,2,2,7,4,1,3,1,3,0,4418,22,1,4,3,0,23609.61,21810.33,0,2024,11,5
8,1000,1285.62,23,0,2,3,6,0,1,1,0,3,12092,1,4,0,1,0,20596.74,21039.82,0,2024,5,20
1,800,943.8,24,2,3,2,6,0,1,1,2,9,16194,20,3,2,0,0,6115.4,5484.58,0,2024,7,28
4,600,814.96,61,1,1,2,3,0,0,1,0,5,16624,3,1,4,2,0,18985.38,24550.04,0,2024,2,21
3,300,1349.47,36,2,1,3,4,0,2,0,0,1,12557,20,2,1,5,1,8203.79,8394.77,0,2023,11,9
6,400,1409.02,22,2,0,3,2,2,3,1,0,9,1583,22,3,2,5,1,19921.68,18022.59,0,2024,5,24
9,1000,1287.09,41,0,2,2,3,3,0,1,3,8,15197,23,4,4,1,1,13572.04,13435.6,0,2024,1,21
3,700,1454.69,25,0,3,3,3,3,1,0,2,5,13183,12,2,4,0,0,15914.48,17442.86,0,2023,12,27
4,800,1282.64,45,0,1,4,5,1,1,1,0,8,17898,12,3,2,5,0,8664.58,11326.34,1,2025,9,16
6,600,1059.16,20,2,1,7,6,2,0,2,1,2,10212,10,1,4,0,0,12210.31,10353.21,1,2025,11,1
7,500,977.08,59,0,0,1,0,2,0,0,3,1,17437,15,1,2,3,0,11019.36,18883.68,0,2025,7,22
6,1000,1007.87,31,1,2,3,6,1,2,1,3,2,9330,8,2,3,5,1,4458.28,6073.85,0,2025,4,26
8,200,1243.13,37,0,1,4,2,3,1,1,0,2,16522,4,3,4,5,0,6168.66,7405.74,0,2024,7,11
6,200,1404.82,19,2,3,5,0,1,1,1,2,5,8753,11,4,0,5,1,19329.05,21018.78,0,2025,3,5
0,500,1251.75,71,1,3,4,4,2,1,0,0,9,4176,7,3,3,3,1,11144.06,15193.34,0,2024,7,27
8,400,1187.21,27,0,2,2,1,3,2,2,0,5,2054,11,2,2,0,1,4216.13,6738.68,1,2024,6,4
7,500,1432.9,57,2,0,7,0,3,0,0,0,1,5098,18,2,4,5,0,8228.05,11439.24,0,2025,1,31
2,300,1131.64,32,2,2,7,6,2,3,1,1,0,5847,16,2,4,5,1,19551.1,17004.62,0,2023,12,4
0,1000,1358.63,33,0,3,1,3,3,2,0,0,6,7377,14,3,0,2,1,601.35,526.17,0,2025,3,7
3,300,1428.02,50,2,0,7,6,0,0,0,0,6,16764,0,4,3,0,1,2835.63,5065.51,0,2024,5,23
7,700,1235.69,35,1,2,3,3,2,0,0,0,4,5523,9,4,1,1,0,21467.2,18574.12,0,2024,4,5
4,800,878.75,36,2,0,2,2,2,0,2,3,7,191,22,2,2,3,1,8427.8,13984.92,0,2025,9,1
2,700,645.72,59,1,2,5,1,3,3,1,0,7,16941,6,3,3,0,0,2149.56,2577.63,0,2024,3,7
7,300,897.57,35,1,1,1,6,3,1,0,1,8,7812,3,4,4,4,0,14224.03,17730.41,0,2025,8,13
9,600,1075.46,27,0,1,4,2,2,0,1,0,7,7596,18,3,0,0,1,9043.95,9273.41,0,2024,9,5
2,200,1333.12,22,1,0,4,3,2,0,0,0,7,2521,11,4,0,3,1,24827.67,21155.21,0,2024,5,6
5,1000,809.59,51,2,2,3,4,1,2,1,0,9,2763,11,1,1,2,0,4849.14,9242.37,0,2024,4,19
1,500,1032.15,51,2,2,1,2,1,3,0,3,3,9679,9,3,1,0,0,774.87,1189.48,0,2024,5,24
2,800,1306.01,48,0,0,0,1,2,3,0,3,4,4627,14,4,2,5,0,6269.06,7084.26,0,2024,11,3
7,200,1198.93,68,1,1,3,2,0,2,0,1,8,3261,2,4,3,2,0,3620.14,7157.53,0,2024,4,20
9,600,847.27,75,1,0,6,1,2,2,0,2,3,5255,18,2,3,5,1,13269.85,14669.74,0,2025,10,31
8,300,1023.97,59,1,0,0,0,3,2,2,3,3,6463,12,3,1,1,0,3633.18,4078.29,0,2024,12,5
6,1000,1458.71,65,0,2,0,0,0,1,0,1,6,17580,3,2,2,3,0,4095.04,4667.03,0,2024,5,11
8,1000,1474.59,31,2,2,4,0,0,3,0,3,1,5809,6,1,1,0,0,10289.82,11961.56,0,2023,11,26
4,1000,1129.0,52,1,0,0,3,3,0,1,3,9,1387,5,1,4,5,0,895.08,1453.16,0,2023,11,19
4,600,1095.77,36,1,3,2,2,3,2,2,1,8,13488,21,2,0,2,1,10892.66,20001.83,0,2024,11,4
1,800,943.0,67,0,2,7,2,0,1,0,2,4,5475,9,4,0,4,0,13818.94,24873.5,0,2025,7,6
7,400,983.46,58,0,2,4,6,1,3,1,3,2,4424,15,2,3,2,0,21586.1,24958.11,0,2025,2,16
9,700,751.47,26,1,0,4,3,3,2,1,1,2,4234,10,1,1,2,1,10814.46,17030.43,0,2025,7,2
1,800,1069.92,54,0,3,1,4,3,3,0,3,2,9089,11,4,3,3,0,22919.4,22149.54,0,2024,9,27
3,200,910.42,22,0,0,7,0,0,2,2,1,4,10599,16,1,1,1,0,9332.33,12125.05,0,2025,10,15
8,400,750.32,56,1,1,0,3,3,2,2,0,5,3833,0,4,1,4,1,20179.16,18809.06,1,2025,4,4
0,700,1311.2,52,0,2,4,1,2,2,2,2,7,6740,1,4,3,2,1,586.83,831.14,0,2025,10,3
4,700,1305.21,38,2,0,1,4,0,1,0,1,5,9753,8,1,1,4,1,2367.88,3402.02,0,2024,3,5
2,300,1052.61,31,2,1,6,1,0,1,1,1,1,12235,2,1,4,1,1,3541.41,4220.32,0,2024,11,30
2,800,1388.05,46,2,2,7,0,2,2,1,2,7,2243,23,2,1,5,0,11328.11,14873.2,0,2025,10,14
4,600,838.37,75,2,3,4,5,3,2,0,3,4,1591,2,1,3,0,1,7848.61,8786.0,0,2024,5,14
4,500,1019.64,55,2,1,5,0,1,0,2,2,9,16752,21,3,0,0,0,7026.3,6655.09,0,2024,5,2
6,600,722.17,72,2,1,6,0,2,1,2,0,1,6483,23,2,3,4,1,11085.7,20194.15,0,2025,7,13
5,700,1436.55,27,1,3,2,4,3,0,1,2,4,6627,17,4,1,4,1,7657.84,7157.11,0,2025,7,16
5,500,695.87,73,2,3,2,1,2,2,2,0,9,3544,21,3,3,2,0,16299.97,17214.81,0,2024,2,12
0,200,712.9,53,2,0,0,0,1,2,1,1,9,9673,21,1,1,3,1,6861.1,9084.87,0,2025,7,31
7,700,903.88,56,2,0,7,2,1,2,0,1,7,8126,18,3,2,1,1,3094.01,4751.15,0,2025,4,29
3,500,1433.3,41,2,2,5,4,3,2,2,3,1,2890,7,4,2,0,0,504.03,524.94,0,2024,10,20
2,200,1338.62,36,0,2,6,1,1,3,1,1,0,6297,13,1,0,1,0,10530.35,10893.2,0,2025,6,5
6,800,1194.36,65,0,1,2,1,1,1,1,0,6,8073,7,2,3,1,0,7707.15,10733.49,0,2025,2,20
6,600,761.96,32,2,0,1,5,2,1,2,3,8,9972,20,1,3,4,1,14797.34,17600.21,0,2025,2,20
7,200,1400.53,28,2,1,2,3,1,2,2,3,3,1990,10,4,0,4,0,6819.1,12259.64,0,2024,11,18
1,800,849.56,24,2,0,2,4,0,0,1,0,5,424,7,2,1,1,1,3837.3,6648.46,0,2025,4,22
0,800,951.49,19,1,1,6,3,0,1,0,3,8,7731,2,4,0,1,1,15409.41,23720.45,1,2024,6,8
2,500,720.06,28,2,3,5,3,3,1,2,2,2,7199,8,4,4,5,0,13624.31,18578.68,0,2023,12,29
